1,"COMANDO Y PROTECCION EN BAJA TENSION                                                                ","Kemper; Messeguer                                                                                   ","Kihara                                                                                              "
5,"ACIONAMENTOS ELETRICOS","Caliton Moro Franchi",
6,"SEGURIDAD E HIGIENE EN EL TRABAJO","Jose Maria Cortes Diaz",
7,"APRENDA EM 21 DIAS JAVA 2: PROFESSIONAL REFERENCE","CADENHEAD, ROGERS","LEMAY, LAURA"
8,"MECANICA DE FLUIDOS Y MAQUINAS HIDRAULICAS","Mataix, Claudio",
9,"ADMINISTRACION DEL TURISMO 2","Acerenza, Miguel Angel",
10,"PRINCIPIOS DE ELECTRONICA",Malvino,
11,"INSTALACION ELECTRICA DE BAJA TENSION                                                               ","Kemper; Messeguer                                                                                   ","Kihara; Herreros                                                                                    "
15,"COMANDO Y PROTECCION EN BAJA TENSION                                                                ","Kemper; Messeguer                                                                                   ","Kihara                                                                                              "
20,"R.P.G. II - UN LENGUAJE EN CUESTION",Tutor,Velasco
21,"R.P.G. II - UN LENGUAJE EN CUESTION",Tutor,Velasco
24,"INTRODUCCION AL R.P.G. II",I.B.M.,
25,"INTRODUCCION AL R.P.G. II",I.B.M.,
26,"BREVE RESE?A HISTORICA DE LOS AVA GUARANI DE LA CO","UNIVERSIDAD EVANGELICA DEL",PARAGUAY
27,"EL ULTIMO VUELO DEL PAJARO CAMPANA","COLMAN GUTIERREZ",
28,"ACIONAMENTOS ELETRICOS","Claiton Moro Franchi",
29,"NORTON UTILITIES VER. 4.0","Richard Evans",
30,"INTRODUCCION A LA INVESTIGACION DE OPERACIONES","HILLIER, FREDERICK S.","LIEBERMAN, GERALD J."
31,"PRIMA PAR - MANUAL DE COMPUTACION E INFO",,
32,"SOFTWARE Y HARDWARE DE SU PC","Jos? A. Carballar",
33,"PRIMA PAR - MANUAL DE COMPUTACION E INFO",,
34,"INTRODUCCION A LA ESTADISTICA",MERRILL,FOX
35,"TODO EL MS-DOS 6.22 EN UN SOLO LIBRO","Carlos Boqu?",
36,"TODO EL MS-DOS 6.22 EN UN SOLO LIBRO","Carlos Boqu?",
37,"ANALISIS NUMERICO","Richard L. Burden","J. Douglas Faires."
38,"INTRODUCCION AL R.P.G. II",I.B.M.,
39,"INTRODUCCION AL R.P.G. II",I.B.M.,
40,"INTRODUCCION AL R.P.G. II",I.B.M.,
41,"LENGUAJE DE PROGRAMACION COBOL",Vignau,
42,"LENGUAJE DE PROGRAMACION COBOL",Vignau,
43,"LENGUAJE DE PROGRAMACION COBOL",Vignau,
44,"LENGUAJE EN PROGRAMACION COBOL                                                                      ","Vignau                                                                                              ","                                                                                                    "
45,"LENGUAJE DE PROGRAMACION COBOL",Vignau,
46,"PROGRAMACION AVANZADA EN COBOL ESTRUCTURADO",Newcomer,
47,"PROGRAMACION AVANZADA EN COBOL ESTRUCTURADO",Newcomer,
48,"PROGRAMACION AVANZADA EN COBOL ESTRUCTURADO",Newcomer,
49,"DIBUJO EN INGENIERIA                                                                                ","French                                                                                              ","Vierck                                                                                              "
50,"REPUBLICA BOLIVARIANA DE VENEZUELA - CUADERNO DE L","EMBAJADA DE VENEZUELA",
51,"PRINCIPIOS DE MECATR?NICA","Joao Mauricio Rosario",
52,"ACIONAMENTOS ELETRICOS","Claiton Moro Franchi",
53,"FORMULACION Y RESOLUCION DE MODELOS DE PROGRAMACIO","Castillo, Conejo, Pedregal","Garc?a, Alguacil"
54,"DICCIONARIO MCGRAW - HILL DE COMPUTACION",PARKER,
55,"LENGUAJE 2. COMUNICACION - CIENCIA - ARTE","Nasser, Emina","Natalizia, Rolando"
56,"EL CALCULO CON GEOMETRIA ANALITICA","Leithold. Louis",
57,"MARKETING TURISTICO","SERRA, ANTONI",
58,"BREVE DICCIONARIO DE LA LITERATURA GUARA","Teresa Mendez",Faith
59,CALCULUS,APOSTOL,
60,"EVALUACION DE PROYECTOS","Gabriel Baca Urbina",
61,"BASES DE DATOS",Rodr?guez,
62,"COMPILADORES: PRINCIPIOS, TECNICAS Y HERRAMIENTAS","AHO, ALFRED V. - SETHI, RAVI","ULLMAN, JEFFREY D."
63,"ANALISIS VECTIRIAL","Murray R. Spigel",
64,MATHEMATICA,"Enrrique Castillo","Andr?s Iglesias"
65,"VARIABLE COMPLEJA","SPIEGEL, MURRAY R.",
66,"METODOLOGIA DE LA PROGRAMACION - APLICACIONES EN C",Alcalde,Garc?a
67,"UN REGALO EXCEPCIONAL","Roger Patron Lujan",
68,"PERSPECTIVAS EN ESTADISTICA E INVESTIGACION OPERAT","Antonio Pascal Acosta","Luis Parras Gui"
69,"ANALISIS VECTORIAL","Murray S. Espiegel",
70,"ALGEBRA LINEAL",Lipschutz,
71,"PROGRAMACION AVANZADA EN COBOL ESTRUCTURADO",Newcomer,
72,"CONTROLE DIGITAL",Castrucci,Moura
73,"DISPOSITIVOS ELETRONICOS E TEORIA DE CIRCUITOS",Boylestad,Nashelsky
