"1","COMANDO Y PROTECCION EN BAJA TENSION                                                                ","Kemper; Messeguer                                                                                   ","Kihara                                                                                              ","1"
"5","ACIONAMENTOS ELETRICOS","Caliton Moro Franchi",,"4"
"6","SEGURIDAD E HIGIENE EN EL TRABAJO","Jose Maria Cortes Diaz",,
"7","APRENDA EM 21 DIAS JAVA 2: PROFESSIONAL REFERENCE","CADENHEAD, ROGERS","LEMAY, LAURA","1"
"8","MECANICA DE FLUIDOS Y MAQUINAS HIDRAULICAS","Mataix, Claudio",,"2"
"9","ADMINISTRACION DEL TURISMO 2","Acerenza, Miguel Angel",,"1"
"10","PRINCIPIOS DE ELECTRONICA","Malvino",,"5"
"11","INSTALACION ELECTRICA DE BAJA TENSION                                                               ","Kemper; Messeguer                                                                                   ","Kihara; Herreros                                                                                    ","1"
"15","COMANDO Y PROTECCION EN BAJA TENSION                                                                ","Kemper; Messeguer                                                                                   ","Kihara                                                                                              ","1"
"20","R.P.G. II - UN LENGUAJE EN CUESTION","Tutor","Velasco","1"
"21","R.P.G. II - UN LENGUAJE EN CUESTION","Tutor","Velasco","1"
"24","INTRODUCCION AL R.P.G. II","I.B.M.",,"1"
"25","INTRODUCCION AL R.P.G. II","I.B.M.",,"1"
"26","BREVE RESE?A HISTORICA DE LOS AVA GUARANI DE LA CO","UNIVERSIDAD EVANGELICA DEL","PARAGUAY","1"
"27","EL ULTIMO VUELO DEL PAJARO CAMPANA","COLMAN GUTIERREZ",,"1"
"28","ACIONAMENTOS ELETRICOS","Claiton Moro Franchi",,"4"
"29","NORTON UTILITIES VER. 4.0","Richard Evans",,
"30","INTRODUCCION A LA INVESTIGACION DE OPERACIONES","HILLIER, FREDERICK S.","LIEBERMAN, GERALD J.","1"
"31","PRIMA PAR - MANUAL DE COMPUTACION E INFO",,,
"32","SOFTWARE Y HARDWARE DE SU PC","Jos? A. Carballar",,
"33","PRIMA PAR - MANUAL DE COMPUTACION E INFO",,,
"34","INTRODUCCION A LA ESTADISTICA","MERRILL","FOX","1"
"35","TODO EL MS-DOS 6.22 EN UN SOLO LIBRO","Carlos Boqu?",,
"36","TODO EL MS-DOS 6.22 EN UN SOLO LIBRO","Carlos Boqu?",,
"37","ANALISIS NUMERICO","Richard L. Burden","J. Douglas Faires.","7"
"38","INTRODUCCION AL R.P.G. II","I.B.M.",,"1"
"39","INTRODUCCION AL R.P.G. II","I.B.M.",,"1"
"40","INTRODUCCION AL R.P.G. II","I.B.M.",,"1"
"41","LENGUAJE DE PROGRAMACION COBOL","Vignau",,"1"
"42","LENGUAJE DE PROGRAMACION COBOL","Vignau",,"1"
"43","LENGUAJE DE PROGRAMACION COBOL","Vignau",,"1"
"44","LENGUAJE EN PROGRAMACION COBOL                                                                      ","Vignau                                                                                              ","                                                                                                    ","1"
"45","LENGUAJE DE PROGRAMACION COBOL","Vignau",,"1"
"46","PROGRAMACION AVANZADA EN COBOL ESTRUCTURADO","Newcomer",,"1"
"47","PROGRAMACION AVANZADA EN COBOL ESTRUCTURADO","Newcomer",,"1"
"48","PROGRAMACION AVANZADA EN COBOL ESTRUCTURADO","Newcomer",,"1"
"49","DIBUJO EN INGENIERIA                                                                                ","French                                                                                              ","Vierck                                                                                              ","1"
"50","REPUBLICA BOLIVARIANA DE VENEZUELA - CUADERNO DE L","EMBAJADA DE VENEZUELA",,"2"
"51","PRINCIPIOS DE MECATR?NICA","Joao Mauricio Rosario",,
"52","ACIONAMENTOS ELETRICOS","Claiton Moro Franchi",,"4"
"53","FORMULACION Y RESOLUCION DE MODELOS DE PROGRAMACIO","Castillo, Conejo, Pedregal","Garc?a, Alguacil","1"
"54","DICCIONARIO MCGRAW - HILL DE COMPUTACION","PARKER",,"1"
